"","replication","arrivals","mean_wait_time_doctor","mean_time_with_doctor","utilisation_doctor","mean_queue_length_doctor","mean_time_in_system","mean_patients_in_system","scenario","interarrival_time"
"1",1,8,0,10.6267667316376,0.481119127145938,0,5.90944596317287,1.57307081583463,1,4
"2",2,14,1.34897148508552,16.4744748343497,0.841554265132077,1.40378537269647,6.52989451108563,4.05857639823747,1,4
"3",3,8,3.31855677081878,12.5769860036883,0.921464126407277,0.642548295126706,14.2933690818609,2.42143092310754,1,4
"4",4,9,7.07898029834312,8.22909604550025,1,1.99609246741092,14.8100406814272,3.24620201079408,1,4
"5",5,11,11.8431216686646,8.86691573656945,1,2.92707280952517,16.0070730075349,4.27304061040097,1,4
"6",1,11,4.41361996074518,10.968637973219,0.930584310148577,0.987491173269274,10.9702236774363,3.2130227972489,2,4.5
"7",2,10,4.29523482964298,11.6283846344671,0.880194194020717,1.13332482827257,10.7375367096583,3.57192020650193,2,4.5
"8",3,8,6.34765723931462,13.2468089106304,0.955358201896167,1.18929711897202,16.0127626292229,3.19064768444386,2,4.5
"9",4,4,1.62581646003373,9.99939793007889,0.629523143780246,2.1705516044183,8.01316117210102,0.773895747543184,2,4.5
"10",5,7,1.40305080724084,7.66240331530736,0.794987122243076,0.177675600031725,8.67193409903315,1.82456244217291,2,4.5
"11",1,9,1.15613214438781,12.6003596203197,0.754552736654418,0.373968317225317,6.97245683501662,2.493765452929,3,5
"12",2,10,0.218584488005132,15.462225088151,0.813789446660118,0.719022595427495,7.01946505952583,3.07154880706156,3,5
"13",3,8,1.66123414428793,11.7047088361509,0.814413075962165,0.267179838442082,10.0333074844483,1.7999155080593,3,5
"14",4,4,1.38626707253425,8.26840212536346,0.563335630253149,0.922376574707491,8.71426835318416,0.849007704137528,3,5
"15",5,7,1.13830027498101,8.21128779210847,0.80278369211867,0.175346781230086,8.15987967638087,1.51799334077291,3,5
"16",1,8,0,13.1836043919852,0.655545771172927,0.0736312829911525,7.59490101565919,2.02861401289813,4,5.5
"17",2,6,0,14.2042317250666,0.647634052833524,0,8.06119340074369,1.70412280603631,4,5.5
"18",3,9,1.0701721250389,10.4849814091299,0.754666351460065,0.284045974499432,7.72003459616037,2.52524923819459,4,5.5
"19",4,8,1.60975417482964,12.3497439549112,0.693175537819335,0.261670158027369,7.07426548128608,2.02532401321396,4,5.5
"20",5,7,0.640740711952527,8.64751854372124,0.752826646540434,0,7.92997578653802,1.3341534776669,4,5.5
"21",1,4,0,16.7560113059515,0.582923406546483,0,7.59490101565919,1.68853751498219,5,6
"22",2,7,0,13.9512634085091,0.624770382967771,0,9.87898151170563,1.83477558170584,5,6
"23",3,11,0,10.6429013154474,0.669626551890053,0,5.47117043685001,2.17425712473612,5,6
"24",4,5,2.12557947011392,7.96236059433145,0.449007133090321,0.291566440099274,10.0879400644454,1.33213116514435,5,6
"25",5,6,0.169850233817163,7.93185491796099,0.666440375334585,0,7.98539903791332,0.910706697637174,5,6
"26",1,5,0,14.9288687557013,0.567172029191984,0,7.60125040041958,1.58750619428957,6,6.5
"27",2,6,0,15.7190551508682,0.535197637865169,0,12.1008282025051,1.5937328872933,6,6.5
"28",3,8,0,10.0667872620232,0.590761911856394,0,5.47117043685001,2.05090182640166,6,6.5
"29",4,5,1.51388409185869,7.96236059433145,0.449722135632062,0.339904094840958,9.47624468619015,1.34659661222469,6,6.5
"30",5,5,0.00465265629283635,13.1287974991365,0.622159397942657,0,13.1334501554293,1.73196079174848,6,6.5
"31",1,5,0,14.9288687557013,0.530954657837515,0,8.98636900750407,1.55621124428423,7,7
"32",2,5,0,16.5574421541503,0.479587125126422,0,9.46694685601756,1.26557645522163,7,7
"33",3,8,0,10.0667872620232,0.549417269867167,0,3.46866633601015,2.04597495505579,7,7
"34",4,5,0.902188713603465,7.96236059433145,0.450437138173803,0.39620588040778,8.86454930793492,1.36344539200098,7,7
"35",5,4,0,8.75319926647822,0.334078654444645,0,7.92629163728384,0.805322907542549,7,7
