"","replication","arrivals","mean_wait_time_doctor","mean_time_with_doctor","utilisation_doctor","mean_queue_length_doctor","mean_time_in_system","mean_patients_in_system","scenario","interarrival_time","number_of_doctors"
"1",1,8,0,10.6267667316376,0.481119127145938,0,5.90944596317287,1.57307081583463,1,4,3
"2",2,14,1.34897148508552,16.4744748343497,0.841554265132077,1.40378537269647,6.52989451108563,4.05857639823747,1,4,3
"3",3,8,3.31855677081878,12.5769860036883,0.921464126407277,0.642548295126706,14.2933690818609,2.42143092310754,1,4,3
"4",4,9,7.07898029834312,8.22909604550025,1,1.99609246741092,14.8100406814272,3.24620201079408,1,4,3
"5",5,11,11.8431216686646,8.86691573656945,1,2.92707280952517,16.0070730075349,4.27304061040097,1,4,3
"6",1,9,1.15613214438781,12.6003596203197,0.754552736654418,0.373968317225317,6.97245683501662,2.493765452929,2,5,3
"7",2,10,0.218584488005132,15.462225088151,0.813789446660118,0.719022595427495,7.01946505952583,3.07154880706156,2,5,3
"8",3,8,1.66123414428793,11.7047088361509,0.814413075962165,0.267179838442082,10.0333074844483,1.7999155080593,2,5,3
"9",4,4,1.38626707253425,8.26840212536346,0.563335630253149,0.922376574707491,8.71426835318416,0.849007704137528,2,5,3
"10",5,7,1.13830027498101,8.21128779210847,0.80278369211867,0.175346781230086,8.15987967638087,1.51799334077291,2,5,3
"11",1,4,0,16.7560113059515,0.582923406546483,0,7.59490101565919,1.68853751498219,3,6,3
"12",2,7,0,13.9512634085091,0.624770382967771,0,9.87898151170563,1.83477558170584,3,6,3
"13",3,11,0,10.6429013154474,0.669626551890053,0,5.47117043685001,2.17425712473612,3,6,3
"14",4,5,2.12557947011392,7.96236059433145,0.449007133090321,0.291566440099274,10.0879400644454,1.33213116514435,3,6,3
"15",5,6,0.169850233817163,7.93185491796099,0.666440375334585,0,7.98539903791332,0.910706697637174,3,6,3
"16",1,5,0,14.9288687557013,0.530954657837515,0,8.98636900750407,1.55621124428423,4,7,3
"17",2,5,0,16.5574421541503,0.479587125126422,0,9.46694685601756,1.26557645522163,4,7,3
"18",3,8,0,10.0667872620232,0.549417269867167,0,3.46866633601015,2.04597495505579,4,7,3
